Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
,0,1,0,3.14,1.57,0,-42,8,0
